"Estate Name","Address","Status","Tags","Land Price","House and Land Price","Total new homes","Area size","Growth Region","City council","Developer","Project marketer","Distance to","Latitude","Longitude","URL","Images","Land sizes","description","House Price","Bedrooms","Bathrooms","Car Spaces","Creative agency","Other names"
"Bellmere Lane Estate - Redlynch","Bellmere Lane, Redlynch QLD 4870","Sold Out","Vacant land, House & land","N/A","N/A","N/A","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","Fortress Group","One Stop Property","Cairns CBD - 8 km west","-16.897468","145.691703","https://www.openlot.com.au//bellmere-lane-estate-redlynch","https://files.openlot.com.au/p/estate-image/Bellmere%20Lane%20Estate%20-%20Redlynch%20Aerial.jpeg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","","","","","","","",""
"Springbrook Estate - Redlynch","Springbrook Avenue, Redlynch QLD 4870","Available","Vacant land, House & land","N/A","N/A","N/A","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","Fortress Group","One Stop Property","Cairns CBD - 8 km west","-16.898704","145.695614","https://www.openlot.com.au//springbrook-estate-redlynch","https://files.openlot.com.au/p/estate-image/Springbrook%20Estate%20-%20Redlynch%20Aerial.jpeg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","","","","","","","",""
"The Pocket Estate - Redlynch","Halifax Drive, Redlynch QLD 4870","Sold Out","Vacant land, House & land","N/A","N/A","N/A","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","Fortress Group","One Stop Property","Cairns CBD - 8 km west","-16.896893","145.693764","https://www.openlot.com.au//pocket-estate-redlynch","https://files.openlot.com.au/p/estate-image/The%20Pocket%20Estate%20-%20Redlynch%20Aerial.jpeg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes 375m to 1,190m","","","","","","",""
"Vistas at Redlynch - Redlynch","357-371 Redlynch Intake Road, Redlynch QLD 4870","Available","Vacant land, House & land","N/A","$700,000","201","36.64 hectares","Cairns (Far North Queensland Region)","Cairns Regional Council","Kenfrost Homes","","Cairns CBD - 7 km west","-16.910546","145.699563","https://www.openlot.com.au//vistas-redlynch-redlynch","https://files.openlot.com.au/p/estate-image/Vistas%20Estate%20-%20Redlynch%20Aerial_0.jpg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes 450m to 612m","Mountain views all around, large parkland, footpaths, basketball half court, fitness node, grassed space.Premium location next door to 2 schools and 1km from Redlynch Central shopping centre.Generous-sized, fully usable and flat allotments with views up the valley and down to Freshwater CreekSales office now on site at the top of the park - OPEN daily 11-4pm.Only 12kms to the beach!","$700,000","4","2","2","",""
"368-370 Redlynch Intake Road, Redlynch QLD 4870","N/A","Available","Vacant land, House & land","N/A","N/A","11","1.58 hectares","Cairns (Far North Queensland Region)","Cairns Regional Council","N/A","Twomey Schriber Property Group","Cairns CBD - 8 km west","-16.9129301","145.6971105","https://www.openlot.com.au//368-370-redlynch-intake-road-redlynch","https://files.openlot.com.au/p/estate-image/368-370%20Redlynch%20Intake%20Road%20-%20Redlynch___1690869376.jpg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes 800m to 813m","","","","","","",""
"Butterfly Chase Estate - Bentley Park","43-53 Timberlea Drive, Bentley Park QLD 4869","Available","Vacant land, House & land","N/A","N/A","36","3.20 hectares","Cairns (Far North Queensland Region)","Cairns Regional Council","N/A","Unique Property Sales","Cairns CBD - 11 km south-west","-17.004091","145.720716","https://www.openlot.com.au//butterfly-chase-estate-bentley-park","https://files.openlot.com.au/p/estate-image/Butterfly%20Chase%20Estate%20-%20Bentley%20Park%20Aerial.jpg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes 450m to 772m","","","","","","",""
"Cherrybrook Estate - Bentley Park","1 Newland Court, Bentley Park QLD 4869","Available","Vacant land","$225,000","N/A","N/A","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","Fortress Group","One Stop Property","Cairns CBD - 12 km south-west","-17.008221","145.713681","https://www.openlot.com.au//cherrybrook-estate-bentley-park","https://files.openlot.com.au/p/estate-image/Cherrybrook%20Estate%20-%20Bentley%20Park___1705452807.jpg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes From  $225,000 448m to 864m","Living at Cherrybrook means having everything at your fingertips – excellent local schools, parks, playgrounds, shops and more! Host to an abundance of lifestyle amenities including: 7 Schools (public & private | 8 Childcare Centres | 7 Retail Precincts | 4 Sporting & Recreational Centres | 3 Medical CentresEnjoy a connected neighbourhood with an easy 20-minute traffic free commute into the CBD.20 minutes to Cairns CBD.5 minutes Mount Sheridan Plaza.2 minutes to Future Childcare Centre.2 minutes to Walker Road Sporting & Recreational Precinct.2 minutes to Sugarworld Shopping Centre and thirteen specialty stores including a Coles Express.Surrounded by a wide range of multiple faith and state schools.","","","","","",""
"The Outlook Estate - Bentley Park","Outlook Drive, Bentley Park QLD 4869","Available","Vacant land","$249,000","N/A","N/A","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","Fortress Group","One Stop Property","Cairns CBD - 11 km south-west","-17.002622","145.716144","https://www.openlot.com.au//outlook-estate-bentley-park","https://files.openlot.com.au/p/estate-image/The%20Outlook%20Estate%20-%20Bentley%20Park%20Masterplan.jpg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes From  $249,000 603m to 868m","Offering majestic rainforest outlooks, our latest release is truly special. Located in an exclusive precinct, ‘The Retreat Release 2″ offers large premium homesites – secluded, private and surrounded by rainforest.On offer:Large, level and elevated lots ranging in size from 600m2 to 850m2Elevated lots bordered by world heritage rainforest and spectacular viewsA unique master plan with precincts separated by natural bushlandSurrounded by high quality homes, predominately owner-occupier estateTitles for this stage are expected by January 2023.Relax, unwind and play in this family-centered community, where paths find their way around tree-lined streets designed to foster friendships with new neighbours and create memories to last a lifetime. Delivering a strong sense of connection and convenience, The Outlook offers an unrivalled lifestyle address.","","","","","",""
"Parkside Estate - Edmonton","900 Moroney Avenue, Edmonton QLD 4869","Available","Vacant land, House & land","N/A","N/A","N/A","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","N/A","Property Shop Cairns","Cairns CBD - 13 km south","-17.034613","145.744379","https://www.openlot.com.au//parkside-estate-edmonton","https://files.openlot.com.au/p/estate-image/Parkside%20Estate%20-%20Edmonton%20Masterplan.jpg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes 600m to 1,010m","","","","","","",""
"Sugarworld Estate - Edmonton","Wiseman Road, Edmonton QLD 4869","Available","Vacant land, House & land","N/A","N/A","77","N/A","Cairns (Far North Queensland Region)","Cairns Regional Council","The JAC Group","New Level Real Estate","Cairns CBD - 13 km south-west","-17.02492","145.719739","https://www.openlot.com.au//sugarworld-estate-edmonton","https://files.openlot.com.au/p/estate-image/Sugarworld%20Estate%20-%20Edmonton%20Aerial.jpg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg, /themes/openspace/assets/img/openlot/placeholder.svg","Land sizes 469m to 2,946m","","","","","","Walker Designs",""
